Sl.No.,GLIMS_ID,Glacier_ID,Longitude,Latitude,Area_sqKM,Elev_Max(m),Elev_Min(m),Elev_Mean(m),Slope_Max(degree),Slope_Mean(degree),Slope_Min(degree),Aspect(degree),Basin,index_right,HYBAS_L12,LENGTH_KM,DIST_DN_KM,DIST_UP_KM,CATCH_SKM,DIS_AV_CMS,ORD_STRA
474,G089243E27778N,WPagr16_16,89.243,27.778,0.097,5457,5164,5362.0,60.0,31.0,3.0,213.0,Pa Chhu,83255,4121467400,2.831000030040741,675.3599914550781,11.200000095367432,14.519999933242797,0.6637000024318697,2.0
475,G089269E27827N,WPagr16_29,89.269,27.827,0.289,7317,6862,7077.0,80.0,43.0,2.0,181.0,Pa Chhu,94210,4120832510,0.0,0.0,0.0,0.0,0.0,0.0
476,G089420E27679N,WPagr16_10,89.42,27.679,0.226,5570,5001,5237.0,64.0,31.0,1.0,259.0,Pa Chhu,83255,4121467400,2.831000030040741,675.3599914550781,11.200000095367432,14.519999933242797,0.6637000024318697,2.0
477,G089251E27804N,WPagr16_21,89.251,27.804,0.118,6238,5937,6109.0,71.0,47.0,5.0,156.0,Pa Chhu,83289,4121466950,3.6400000188085766,680.9111124674479,10.877777735392252,17.13444435596466,0.4663333429230583,2.0
478,G089356E27605N,WPagr16_5,89.356,27.605,0.298,5544,5016,5300.0,61.0,31.0,2.0,277.0,Pa Chhu,83177,4121468520,3.7300000116229057,660.6625061035156,15.724999904632568,15.35999983549118,1.4073750115931034,4.0
479,G089289E27802N,WPagr16_27,89.289,27.802,0.606,5795,5081,5427.0,72.0,31.0,1.0,99.0,Pa Chhu,83289,4121466950,3.6400000188085766,680.9111124674479,10.877777735392252,17.13444435596466,0.4663333429230583,2.0
480,G089360E27605N,WPagr16_6,89.36,27.605,0.065,5530,5206,5331.0,69.0,41.0,11.0,116.0,Pa Chhu,83177,4121468520,3.7300000116229057,660.6625061035156,15.724999904632568,15.35999983549118,1.4073750115931034,4.0
481,G089169E27577N,WPagr16_4,89.169,27.577,0.191,5394,4934,5187.0,61.0,34.0,0.0,260.0,Pa Chhu,83177,4121468520,3.7300000116229057,660.6625061035156,15.724999904632568,15.35999983549118,1.4073750115931034,4.0
482,G089920E27979N,PPhgr16_198,89.92,27.979,2.092,5660,5305,5461.0,66.0,14.0,0.0,156.0,Pho Chhu,83344,4120831420,4.183333317438762,691.2666625976562,24.733333269755047,17.31666660308838,3.8339998920758567,3.0
483,G089914E27956N,PPhgr16_195,89.914,27.956,0.284,5406,5221,5322.0,48.0,16.0,1.0,195.0,Pho Chhu,83149,4120840000,4.099090901288119,670.2363725142045,14.190909298983486,19.223636172034524,0.7071818201379343,2.0
484,G089939E27919N,PPhgr16_186,89.939,27.919,0.056,5146,5040,5098.0,48.0,25.0,4.0,289.0,Pho Chhu,83149,4120840000,4.099090901288119,670.2363725142045,14.190909298983486,19.223636172034524,0.7071818201379343,2.0
485,G089944E27927N,PPhgr16_187,89.944,27.927,0.027,5174,5104,5137.0,55.0,25.0,4.0,261.0,Pho Chhu,83149,4120840000,4.099090901288119,670.2363725142045,14.190909298983486,19.223636172034524,0.7071818201379343,2.0
486,G089945E27937N,PPhgr16_188,89.945,27.937,0.281,5311,5022,5133.0,66.0,19.0,0.0,259.0,Pho Chhu,83149,4120840000,4.099090901288119,670.2363725142045,14.190909298983486,19.223636172034524,0.7071818201379343,2.0
487,G089940E27951N,PPhgr16_192,89.94,27.951,0.442,5463,5136,5290.0,61.0,24.0,0.0,247.0,Pho Chhu,83149,4120840000,4.099090901288119,670.2363725142045,14.190909298983486,19.223636172034524,0.7071818201379343,2.0
488,G089922E27963N,PPhgr16_196,89.922,27.963,0.774,5507,5163,5344.0,57.0,14.0,0.0,168.0,Pho Chhu,83149,4120840000,4.099090901288119,670.2363725142045,14.190909298983486,19.223636172034524,0.7071818201379343,2.0
489,G089956E27897N,PPhgr16_185,89.956,27.897,0.302,5243,5033,5136.0,55.0,19.0,0.0,265.0,Pho Chhu,83288,4120833790,2.9811111158794827,681.7333374023438,33.655555937025284,11.803333467907375,11.911444576250183,4.0
490,G089945E27946N,PPhgr16_190,89.945,27.946,0.052,5280,5096,5193.0,59.0,28.0,5.0,66.0,Pho Chhu,83344,4120831420,4.183333317438762,691.2666625976562,24.733333269755047,17.31666660308838,3.8339998920758567,3.0
491,G089944E27953N,PPhgr16_193,89.944,27.953,0.084,5481,5254,5359.0,49.0,25.0,2.0,194.0,Pho Chhu,83344,4120831420,4.183333317438762,691.2666625976562,24.733333269755047,17.31666660308838,3.8339998920758567,3.0
492,G089937E27981N,PPhgr16_199,89.937,27.981,0.117,5409,5281,5355.0,54.0,22.0,1.0,190.0,Pho Chhu,83344,4120831420,4.183333317438762,691.2666625976562,24.733333269755047,17.31666660308838,3.8339998920758567,3.0
493,G089939E27984N,PPhgr16_200,89.939,27.984,0.047,5232,5136,5182.0,40.0,17.0,1.0,61.0,Pho Chhu,83344,4120831420,4.183333317438762,691.2666625976562,24.733333269755047,17.31666660308838,3.8339998920758567,3.0
494,G089942E27993N,PPhgr16_201,89.942,27.993,0.58,5389,5049,5232.0,60.0,15.0,0.0,93.0,Pho Chhu,83395,4120829740,2.8561111208465366,706.6777818467882,11.527777724795872,12.624444623788198,0.8069444468451872,3.0
495,G089929E27994N,PPhgr16_202,89.929,27.994,0.791,5645,5130,5322.0,65.0,23.0,0.0,164.0,Pho Chhu,83395,4120829740,2.8561111208465366,706.6777818467882,11.527777724795872,12.624444623788198,0.8069444468451872,3.0
496,G089919E28001N,PPhgr16_203,89.919,28.001,0.043,5302,5219,5275.0,39.0,17.0,1.0,92.0,Pho Chhu,83395,4120829740,2.8561111208465366,706.6777818467882,11.527777724795872,12.624444623788198,0.8069444468451872,3.0
497,G089911E28006N,PPhgr16_204,89.911,28.006,0.775,5651,5144,5383.0,56.0,16.0,0.0,99.0,Pho Chhu,83395,4120829740,2.8561111208465366,706.6777818467882,11.527777724795872,12.624444623788198,0.8069444468451872,3.0
498,G089890E28042N,PPhgr16_213,89.89,28.042,0.412,5535,5274,5395.0,74.0,21.0,1.0,120.0,Pho Chhu,83395,4120829740,2.8561111208465366,706.6777818467882,11.527777724795872,12.624444623788198,0.8069444468451872,3.0
499,G089902E28041N,PPhgr16_215,89.902,28.041,0.116,5383,5230,5321.0,53.0,25.0,2.0,174.0,Pho Chhu,83395,4120829740,2.8561111208465366,706.6777818467882,11.527777724795872,12.624444623788198,0.8069444468451872,3.0
500,G089898E28045N,PPhgr16_216,89.898,28.045,0.092,5117,5001,5046.0,48.0,13.0,0.0,154.0,Pho Chhu,83395,4120829740,2.8561111208465366,706.6777818467882,11.527777724795872,12.624444623788198,0.8069444468451872,3.0
501,G089890E28055N,PPhgr16_218,89.89,28.055,0.063,5232,5087,5158.0,62.0,27.0,1.0,279.0,Pho Chhu,83395,4120829740,2.8561111208465366,706.6777818467882,11.527777724795872,12.624444623788198,0.8069444468451872,3.0
502,G089880E28047N,PPhgr16_211,89.88,28.047,0.833,5810,4984,5293.0,76.0,25.0,0.0,217.0,Pho Chhu,83395,4120829740,2.8561111208465366,706.6777818467882,11.527777724795872,12.624444623788198,0.8069444468451872,3.0
503,G089882E28030N,PPhgr16_207,89.882,28.03,0.815,5910,5187,5554.0,68.0,27.0,0.0,110.0,Pho Chhu,83395,4120829740,2.8561111208465366,706.6777818467882,11.527777724795872,12.624444623788198,0.8069444468451872,3.0
504,G089928E27961N,PPhgr16_197,89.928,27.961,0.042,5234,5159,5204.0,40.0,18.0,1.0,142.0,Pho Chhu,83149,4120840000,4.099090901288119,670.2363725142045,14.190909298983486,19.223636172034524,0.7071818201379343,2.0
505,G089907E28013N,PPhgr16_205,89.907,28.013,0.05,5265,5187,5221.0,49.0,18.0,1.0,88.0,Pho Chhu,83395,4120829740,2.8561111208465366,706.6777818467882,11.527777724795872,12.624444623788198,0.8069444468451872,3.0
506,G089891E28048N,PPhgr16_217,89.891,28.048,0.112,5577,5272,5451.0,74.0,36.0,1.0,116.0,Pho Chhu,83395,4120829740,2.8561111208465366,706.6777818467882,11.527777724795872,12.624444623788198,0.8069444468451872,3.0
507,G089950E27942N,PPhgr16_189,89.95,27.942,0.245,5209,4900,5067.0,65.0,19.0,0.0,153.0,Pho Chhu,83288,4120833790,2.9811111158794827,681.7333374023438,33.655555937025284,11.803333467907375,11.911444576250183,4.0
508,G089941E27945N,PPhgr16_191,89.941,27.945,0.168,5391,5162,5293.0,53.0,22.0,1.0,232.0,Pho Chhu,83149,4120840000,4.099090901288119,670.2363725142045,14.190909298983486,19.223636172034524,0.7071818201379343,2.0
509,G089878E28037N,PPhgr16_208,89.878,28.037,0.046,5878,5801,5823.0,62.0,16.0,0.0,189.0,Pho Chhu,83316,4120831540,6.168571369988578,686.6714215959821,25.714285714285715,23.44857140949794,3.7472858003207614,3.0
510,G089884E28036N,PPhgr16_209,89.884,28.036,0.235,5912,5360,5657.0,69.0,32.0,4.0,133.0,Pho Chhu,83395,4120829740,2.8561111208465366,706.6777818467882,11.527777724795872,12.624444623788198,0.8069444468451872,3.0
511,G089940E27957N,PPhgr16_194,89.94,27.957,0.08,5255,5072,5173.0,55.0,24.0,1.0,163.0,Pho Chhu,83344,4120831420,4.183333317438762,691.2666625976562,24.733333269755047,17.31666660308838,3.8339998920758567,3.0
512,G089900E28019N,PPhgr16_206,89.9,28.019,0.22,5435,5173,5301.0,67.0,20.0,1.0,122.0,Pho Chhu,83395,4120829740,2.8561111208465366,706.6777818467882,11.527777724795872,12.624444623788198,0.8069444468451872,3.0
513,G089884E28039N,PPhgr16_210,89.884,28.039,0.072,5849,5547,5714.0,65.0,36.0,2.0,120.0,Pho Chhu,83395,4120829740,2.8561111208465366,706.6777818467882,11.527777724795872,12.624444623788198,0.8069444468451872,3.0
514,G089897E28041N,PPhgr16_214,89.897,28.041,0.048,5312,5176,5242.0,49.0,27.0,2.0,233.0,Pho Chhu,83395,4120829740,2.8561111208465366,706.6777818467882,11.527777724795872,12.624444623788198,0.8069444468451872,3.0
515,G089867E28070N,PPhgr16_220,89.867,28.07,1.036,5464,4820,5221.0,75.0,18.0,0.0,112.0,Pho Chhu,83395,4120829740,2.8561111208465366,706.6777818467882,11.527777724795872,12.624444623788198,0.8069444468451872,3.0
516,G089876E28068N,PPhgr16_219,89.876,28.068,0.554,5308,5013,5151.0,62.0,20.0,0.0,141.0,Pho Chhu,83395,4120829740,2.8561111208465366,706.6777818467882,11.527777724795872,12.624444623788198,0.8069444468451872,3.0
517,G089863E28078N,PPhgr16_221,89.863,28.078,0.46,5427,5118,5262.0,66.0,23.0,1.0,85.0,Pho Chhu,83395,4120829740,2.8561111208465366,706.6777818467882,11.527777724795872,12.624444623788198,0.8069444468451872,3.0
518,G089864E28096N,PPhgr16_222,89.864,28.096,0.929,6162,4879,5577.0,76.0,33.0,1.0,159.0,Pho Chhu,83395,4120829740,2.8561111208465366,706.6777818467882,11.527777724795872,12.624444623788198,0.8069444468451872,3.0
519,G089872E28097N,PPhgr16_224,89.872,28.097,0.292,5851,5149,5421.0,69.0,34.0,2.0,174.0,Pho Chhu,83395,4120829740,2.8561111208465366,706.6777818467882,11.527777724795872,12.624444623788198,0.8069444468451872,3.0
520,G089878E28093N,PPhgr16_225,89.878,28.093,0.144,5386,5155,5271.0,56.0,28.0,1.0,192.0,Pho Chhu,83395,4120829740,2.8561111208465366,706.6777818467882,11.527777724795872,12.624444623788198,0.8069444468451872,3.0
521,G089879E28101N,PPhgr16_226,89.879,28.101,0.714,5876,4853,5267.0,74.0,30.0,1.0,117.0,Pho Chhu,83395,4120829740,2.8561111208465366,706.6777818467882,11.527777724795872,12.624444623788198,0.8069444468451872,3.0
522,G089879E28116N,PPhgr16_228,89.879,28.116,3.666,6245,4642,5275.0,74.0,24.0,0.0,106.0,Pho Chhu,83395,4120829740,2.8561111208465366,706.6777818467882,11.527777724795872,12.624444623788198,0.8069444468451872,3.0
523,G089893E28131N,PPhgr16_229,89.893,28.131,0.525,5567,5128,5328.0,72.0,25.0,0.0,113.0,Pho Chhu,83395,4120829740,2.8561111208465366,706.6777818467882,11.527777724795872,12.624444623788198,0.8069444468451872,3.0
524,G089890E28146N,PPhgr16_230,89.89,28.146,1.066,5724,5167,5448.0,66.0,17.0,0.0,131.0,Pho Chhu,83395,4120829740,2.8561111208465366,706.6777818467882,11.527777724795872,12.624444623788198,0.8069444468451872,3.0
525,G089895E28165N,PPhgr16_232,89.895,28.165,0.05,5534,5384,5475.0,61.0,28.0,3.0,108.0,Pho Chhu,83395,4120829740,2.8561111208465366,706.6777818467882,11.527777724795872,12.624444623788198,0.8069444468451872,3.0
526,G089921E28167N,PPhgr16_233,89.921,28.167,12.893,7085,4653,5688.0,79.0,26.0,0.0,221.0,Pho Chhu,83395,4120829740,2.8561111208465366,706.6777818467882,11.527777724795872,12.624444623788198,0.8069444468451872,3.0
527,G089917E28143N,PPhgr16_238,89.917,28.143,0.696,5755,5070,5332.0,70.0,32.0,1.0,278.0,Pho Chhu,83395,4120829740,2.8561111208465366,706.6777818467882,11.527777724795872,12.624444623788198,0.8069444468451872,3.0
528,G089917E28136N,PPhgr16_239,89.917,28.136,0.233,5515,4984,5244.0,61.0,29.0,1.0,240.0,Pho Chhu,83395,4120829740,2.8561111208465366,706.6777818467882,11.527777724795872,12.624444623788198,0.8069444468451872,3.0
529,G089926E28135N,PPhgr16_240,89.926,28.135,0.442,5537,5103,5347.0,61.0,26.0,0.0,200.0,Pho Chhu,83395,4120829740,2.8561111208465366,706.6777818467882,11.527777724795872,12.624444623788198,0.8069444468451872,3.0
530,G089926E28145N,PPhgr16_237,89.926,28.145,0.661,5886,5218,5471.0,69.0,27.0,0.0,120.0,Pho Chhu,83395,4120829740,2.8561111208465366,706.6777818467882,11.527777724795872,12.624444623788198,0.8069444468451872,3.0
531,G089929E28156N,PPhgr16_236,89.929,28.156,1.094,6364,5286,5699.0,67.0,35.0,1.0,137.0,Pho Chhu,83395,4120829740,2.8561111208465366,706.6777818467882,11.527777724795872,12.624444623788198,0.8069444468451872,3.0
532,G089938E28158N,PPhgr16_235,89.938,28.158,0.512,5658,5163,5387.0,63.0,29.0,2.0,158.0,Pho Chhu,83395,4120829740,2.8561111208465366,706.6777818467882,11.527777724795872,12.624444623788198,0.8069444468451872,3.0
533,G089949E28149N,PPhgr16_241,89.949,28.149,4.087,6247,4611,5245.0,77.0,26.0,0.0,212.0,Pho Chhu,83395,4120829740,2.8561111208465366,706.6777818467882,11.527777724795872,12.624444623788198,0.8069444468451872,3.0
534,G089964E28143N,PPhgr16_247,89.964,28.143,2.165,6272,4979,5397.0,72.0,23.0,0.0,184.0,Pho Chhu,83395,4120829740,2.8561111208465366,706.6777818467882,11.527777724795872,12.624444623788198,0.8069444468451872,3.0
535,G089975E28130N,PPhgr16_249,89.975,28.13,0.42,5357,5050,5198.0,65.0,29.0,0.0,265.0,Pho Chhu,83395,4120829740,2.8561111208465366,706.6777818467882,11.527777724795872,12.624444623788198,0.8069444468451872,3.0
536,G089929E28103N,PPhgr16_242,89.929,28.103,0.79,5751,4994,5291.0,76.0,30.0,1.0,260.0,Pho Chhu,83395,4120829740,2.8561111208465366,706.6777818467882,11.527777724795872,12.624444623788198,0.8069444468451872,3.0
537,G089938E28096N,PPhgr16_244,89.938,28.096,1.849,5792,5080,5374.0,69.0,18.0,0.0,173.0,Pho Chhu,83395,4120829740,2.8561111208465366,706.6777818467882,11.527777724795872,12.624444623788198,0.8069444468451872,3.0
538,G089945E28106N,PPhgr16_245,89.945,28.106,1.105,5762,5232,5393.0,68.0,18.0,0.0,98.0,Pho Chhu,83395,4120829740,2.8561111208465366,706.6777818467882,11.527777724795872,12.624444623788198,0.8069444468451872,3.0
539,G089965E28103N,PPhgr16_252,89.965,28.103,1.145,5736,5110,5437.0,63.0,25.0,0.0,243.0,Pho Chhu,83395,4120829740,2.8561111208465366,706.6777818467882,11.527777724795872,12.624444623788198,0.8069444468451872,3.0
540,G089970E28079N,PPhgr16_254,89.97,28.079,0.24,5619,5189,5347.0,69.0,26.0,1.0,278.0,Pho Chhu,83395,4120829740,2.8561111208465366,706.6777818467882,11.527777724795872,12.624444623788198,0.8069444468451872,3.0
541,G089972E28075N,PPhgr16_255,89.972,28.075,0.109,5645,5341,5490.0,58.0,29.0,4.0,201.0,Pho Chhu,83395,4120829740,2.8561111208465366,706.6777818467882,11.527777724795872,12.624444623788198,0.8069444468451872,3.0
542,G089971E28069N,PPhgr16_256,89.971,28.069,0.4,5422,5091,5205.0,71.0,19.0,0.0,260.0,Pho Chhu,83395,4120829740,2.8561111208465366,706.6777818467882,11.527777724795872,12.624444623788198,0.8069444468451872,3.0
543,G089976E28066N,PPhgr16_257,89.976,28.066,0.031,5403,5223,5316.0,65.0,37.0,11.0,216.0,Pho Chhu,83395,4120829740,2.8561111208465366,706.6777818467882,11.527777724795872,12.624444623788198,0.8069444468451872,3.0
544,G089981E28078N,PPhgr16_259,89.981,28.078,0.781,5636,5192,5412.0,64.0,20.0,1.0,101.0,Pho Chhu,83395,4120829740,2.8561111208465366,706.6777818467882,11.527777724795872,12.624444623788198,0.8069444468451872,3.0
545,G089980E28084N,PPhgr16_260,89.98,28.084,0.536,5596,5160,5367.0,63.0,23.0,1.0,79.0,Pho Chhu,83395,4120829740,2.8561111208465366,706.6777818467882,11.527777724795872,12.624444623788198,0.8069444468451872,3.0
546,G089978E28091N,PPhgr16_261,89.978,28.091,0.368,5629,5264,5443.0,66.0,26.0,0.0,100.0,Pho Chhu,83395,4120829740,2.8561111208465366,706.6777818467882,11.527777724795872,12.624444623788198,0.8069444468451872,3.0
547,G089978E28097N,PPhgr16_262,89.978,28.097,0.467,5599,5209,5386.0,61.0,23.0,1.0,81.0,Pho Chhu,83395,4120829740,2.8561111208465366,706.6777818467882,11.527777724795872,12.624444623788198,0.8069444468451872,3.0
548,G089979E28107N,PPhgr16_264,89.979,28.107,0.225,5379,5073,5178.0,56.0,21.0,0.0,106.0,Pho Chhu,83395,4120829740,2.8561111208465366,706.6777818467882,11.527777724795872,12.624444623788198,0.8069444468451872,3.0
549,G089982E28067N,PPhgr16_258,89.982,28.067,0.147,5158,5038,5081.0,48.0,14.0,0.0,93.0,Pho Chhu,83395,4120829740,2.8561111208465366,706.6777818467882,11.527777724795872,12.624444623788198,0.8069444468451872,3.0
550,G089982E28114N,PPhgr16_266,89.982,28.114,0.246,5383,5038,5215.0,63.0,31.0,1.0,59.0,Pho Chhu,83391,4120829950,6.052000010013581,706.3800048828125,11.960000038146973,21.89000008106232,0.7602000147104264,2.0
551,G089979E28125N,PPhgr16_267,89.979,28.125,0.558,5418,5082,5249.0,64.0,28.0,1.0,106.0,Pho Chhu,83391,4120829950,6.052000010013581,706.3800048828125,11.960000038146973,21.89000008106232,0.7602000147104264,2.0
552,G089979E28135N,PPhgr16_268,89.979,28.135,0.157,5311,5040,5177.0,63.0,27.0,0.0,105.0,Pho Chhu,83391,4120829950,6.052000010013581,706.3800048828125,11.960000038146973,21.89000008106232,0.7602000147104264,2.0
553,G089975E28140N,PPhgr16_269,89.975,28.14,0.058,5487,5300,5380.0,53.0,30.0,11.0,112.0,Pho Chhu,83391,4120829950,6.052000010013581,706.3800048828125,11.960000038146973,21.89000008106232,0.7602000147104264,2.0
554,G089974E28145N,PPhgr16_271,89.974,28.145,0.235,5501,5127,5325.0,70.0,30.0,1.0,83.0,Pho Chhu,83391,4120829950,6.052000010013581,706.3800048828125,11.960000038146973,21.89000008106232,0.7602000147104264,2.0
555,G089970E28156N,PPhgr16_272,89.97,28.156,0.532,6006,5052,5327.0,75.0,35.0,2.0,84.0,Pho Chhu,83391,4120829950,6.052000010013581,706.3800048828125,11.960000038146973,21.89000008106232,0.7602000147104264,2.0
556,G089880E28108N,PPhgr16_227,89.88,28.108,0.102,5618,5149,5412.0,62.0,37.0,2.0,121.0,Pho Chhu,83395,4120829740,2.8561111208465366,706.6777818467882,11.527777724795872,12.624444623788198,0.8069444468451872,3.0
557,G089968E28091N,PPhgr16_253,89.968,28.091,1.53,5667,5030,5379.0,66.0,23.0,0.0,253.0,Pho Chhu,83395,4120829740,2.8561111208465366,706.6777818467882,11.527777724795872,12.624444623788198,0.8069444468451872,3.0
558,G089928E28095N,PPhgr16_243,89.928,28.095,0.062,5356,5147,5244.0,52.0,30.0,5.0,253.0,Pho Chhu,83395,4120829740,2.8561111208465366,706.6777818467882,11.527777724795872,12.624444623788198,0.8069444468451872,3.0
559,G089975E28110N,PPhgr16_265,89.975,28.11,0.4,5619,5228,5445.0,70.0,26.0,0.0,109.0,Pho Chhu,83395,4120829740,2.8561111208465366,706.6777818467882,11.527777724795872,12.624444623788198,0.8069444468451872,3.0
560,G089973E28138N,PPhgr16_248,89.973,28.138,0.176,5483,5196,5346.0,62.0,26.0,1.0,202.0,Pho Chhu,83395,4120829740,2.8561111208465366,706.6777818467882,11.527777724795872,12.624444623788198,0.8069444468451872,3.0
561,G089969E28114N,PPhgr16_251,89.969,28.114,1.071,5748,4903,5312.0,71.0,35.0,0.0,271.0,Pho Chhu,83395,4120829740,2.8561111208465366,706.6777818467882,11.527777724795872,12.624444623788198,0.8069444468451872,3.0
562,G089946E28170N,PPhgr16_234,89.946,28.17,0.918,7118,6029,6717.0,74.0,41.0,1.0,157.0,Pho Chhu,83395,4120829740,2.8561111208465366,706.6777818467882,11.527777724795872,12.624444623788198,0.8069444468451872,3.0
563,G089887E28150N,PPhgr16_231,89.887,28.15,0.104,5576,5314,5406.0,52.0,22.0,1.0,84.0,Pho Chhu,83395,4120829740,2.8561111208465366,706.6777818467882,11.527777724795872,12.624444623788198,0.8069444468451872,3.0
564,G089976E28142N,PPhgr16_270,89.976,28.142,0.041,5393,5275,5329.0,55.0,34.0,15.0,83.0,Pho Chhu,83391,4120829950,6.052000010013581,706.3800048828125,11.960000038146973,21.89000008106232,0.7602000147104264,2.0
565,G089973E28121N,PPhgr16_250,89.973,28.121,0.248,5377,4999,5177.0,73.0,38.0,13.0,293.0,Pho Chhu,83395,4120829740,2.8561111208465366,706.6777818467882,11.527777724795872,12.624444623788198,0.8069444468451872,3.0
566,G089954E28109N,PPhgr16_246,89.954,28.109,0.128,5400,5264,5336.0,55.0,25.0,1.0,202.0,Pho Chhu,83395,4120829740,2.8561111208465366,706.6777818467882,11.527777724795872,12.624444623788198,0.8069444468451872,3.0
567,G089886E28048N,PPhgr16_212,89.886,28.048,0.055,5768,5437,5582.0,78.0,45.0,4.0,244.0,Pho Chhu,83395,4120829740,2.8561111208465366,706.6777818467882,11.527777724795872,12.624444623788198,0.8069444468451872,3.0
568,G089867E28097N,PPhgr16_223,89.867,28.097,0.07,5734,5252,5485.0,69.0,41.0,5.0,171.0,Pho Chhu,83395,4120829740,2.8561111208465366,706.6777818467882,11.527777724795872,12.624444623788198,0.8069444468451872,3.0
569,G089975E28102N,PPhgr16_263,89.975,28.102,0.348,5658,5252,5438.0,64.0,29.0,1.0,83.0,Pho Chhu,83395,4120829740,2.8561111208465366,706.6777818467882,11.527777724795872,12.624444623788198,0.8069444468451872,3.0
570,G090152E28142N,PPhgr16_293,90.152,28.142,33.693,6632,4081,4911.0,87.0,22.0,0.0,172.0,Pho Chhu,83474,4121462660,2.9811764587374294,715.4764727424173,12.094117809744443,12.610588438370648,1.807941176873796,3.0
571,G090041E28098N,PPhgr16_283,90.041,28.098,0.076,5210,5103,5152.0,56.0,17.0,0.0,151.0,Pho Chhu,83391,4120829950,6.052000010013581,706.3800048828125,11.960000038146973,21.89000008106232,0.7602000147104264,2.0
572,G090048E28101N,PPhgr16_281,90.048,28.101,0.038,5461,5334,5392.0,61.0,34.0,12.0,140.0,Pho Chhu,83345,4120831430,3.1844444341129727,698.5999891493055,21.377778159247505,14.886666350894505,6.373111138741176,3.0
573,G090045E28104N,PPhgr16_280,90.045,28.104,0.16,5360,5059,5215.0,73.0,30.0,1.0,250.0,Pho Chhu,83391,4120829950,6.052000010013581,706.3800048828125,11.960000038146973,21.89000008106232,0.7602000147104264,2.0
574,G090045E28108N,PPhgr16_279,90.045,28.108,0.118,5289,5101,5196.0,63.0,30.0,1.0,256.0,Pho Chhu,83391,4120829950,6.052000010013581,706.3800048828125,11.960000038146973,21.89000008106232,0.7602000147104264,2.0
575,G090076E28127N,PPhgr16_284,90.076,28.127,17.462,7035,4109,5092.0,88.0,29.0,0.0,165.0,Pho Chhu,83450,4121462930,3.525000015894572,708.2000020345052,16.083333492279053,13.540000001589457,3.5966666614015903,3.0
576,G090107E28130N,PPhgr16_286,90.107,28.13,5.32,6885,4395,5526.0,88.0,37.0,0.0,183.0,Pho Chhu,83450,4121462930,3.525000015894572,708.2000020345052,16.083333492279053,13.540000001589457,3.5966666614015903,3.0
577,G090119E28122N,PPhgr16_287,90.119,28.122,0.735,6041,4664,5518.0,76.0,36.0,0.0,238.0,Pho Chhu,83450,4121462930,3.525000015894572,708.2000020345052,16.083333492279053,13.540000001589457,3.5966666614015903,3.0
578,G090124E28117N,PPhgr16_288,90.124,28.117,0.887,6220,4852,5573.0,78.0,41.0,1.0,187.0,Pho Chhu,83450,4121462930,3.525000015894572,708.2000020345052,16.083333492279053,13.540000001589457,3.5966666614015903,3.0
579,G090122E28108N,PPhgr16_289,90.122,28.108,0.285,5474,5151,5302.0,74.0,29.0,0.0,185.0,Pho Chhu,83450,4121462930,3.525000015894572,708.2000020345052,16.083333492279053,13.540000001589457,3.5966666614015903,3.0
580,G090128E28111N,PPhgr16_290,90.128,28.111,0.424,5638,5020,5343.0,65.0,31.0,1.0,191.0,Pho Chhu,83450,4121462930,3.525000015894572,708.2000020345052,16.083333492279053,13.540000001589457,3.5966666614015903,3.0
581,G090089E27955N,PPhgr16_356,90.089,27.955,0.078,5275,5059,5182.0,60.0,28.0,2.0,277.0,Pho Chhu,83345,4120831430,3.1844444341129727,698.5999891493055,21.377778159247505,14.886666350894505,6.373111138741176,3.0
582,G090088E27959N,PPhgr16_355,90.088,27.959,0.024,5272,5154,5218.0,50.0,26.0,9.0,275.0,Pho Chhu,83345,4120831430,3.1844444341129727,698.5999891493055,21.377778159247505,14.886666350894505,6.373111138741176,3.0
583,G090135E28120N,PPhgr16_292,90.135,28.12,1.04,6192,4798,5430.0,78.0,39.0,1.0,108.0,Pho Chhu,83474,4121462660,2.9811764587374294,715.4764727424173,12.094117809744443,12.610588438370648,1.807941176873796,3.0
584,G090193E28129N,PPhgr16_295,90.193,28.129,1.258,6435,4827,5554.0,80.0,39.0,0.0,218.0,Pho Chhu,83474,4121462660,2.9811764587374294,715.4764727424173,12.094117809744443,12.610588438370648,1.807941176873796,3.0
585,G090181E28170N,PPhgr16_294,90.181,28.17,6.815,7034,6018,6532.0,86.0,25.0,0.0,190.0,Pho Chhu,83474,4121462660,2.9811764587374294,715.4764727424173,12.094117809744443,12.610588438370648,1.807941176873796,3.0
586,G090245E28132N,PPhgr16_298,90.245,28.132,2.933,6230,4365,5176.0,75.0,28.0,0.0,182.0,Pho Chhu,83517,4121462240,2.6107692260008593,723.923081618089,9.723076967092661,11.202307756130512,1.0236923006864695,2.0
587,G090278E28140N,PPhgr16_299,90.278,28.14,9.698,6666,4440,5585.0,85.0,24.0,0.0,186.0,Pho Chhu,83517,4121462240,2.6107692260008593,723.923081618089,9.723076967092661,11.202307756130512,1.0236923006864695,2.0
588,G090305E28114N,PPhgr16_301,90.305,28.114,1.703,5609,4665,5132.0,72.0,23.0,0.0,208.0,Pho Chhu,83517,4121462240,2.6107692260008593,723.923081618089,9.723076967092661,11.202307756130512,1.0236923006864695,2.0
