Sl.No.,GLIMS_ID,Glacier_ID,Longitude,Latitude,Area_sqKM,Elev_Max(m),Elev_Min(m),Elev_Mean(m),Slope_Max(degree),Slope_Mean(degree),Slope_Min(degree),Aspect(degree),Basin,index_right,HYBAS_L12,LENGTH_KM,DIST_DN_KM,DIST_UP_KM,CATCH_SKM,DIS_AV_CMS,ORD_STRA
291,G090326E27858N,MMagr16_397,90.326,27.858,0.691,5398,5140,5262.0,74.0,12.0,0.0,248.0,Mangde Chhu,83744,4121467150,2.7750000059604645,779.7333272298177,8.416666587193808,13.446666558583578,0.2948333335419497,2.0
292,G090329E27872N,MMagr16_401,90.329,27.872,0.993,5453,5137,5271.0,72.0,14.0,0.0,115.0,Mangde Chhu,83732,4120835970,5.091428603444781,769.5142909458706,21.471428189958846,27.11714322226388,1.8867142572999,2.0
293,G090324E27881N,MMagr16_403,90.324,27.881,0.07,5387,5233,5316.0,61.0,25.0,0.0,100.0,Mangde Chhu,83732,4120835970,5.091428603444781,769.5142909458706,21.471428189958846,27.11714322226388,1.8867142572999,2.0
294,G090417E27893N,MMagr16_479,90.417,27.893,0.24,5300,5125,5187.0,69.0,15.0,0.0,153.0,Mangde Chhu,83734,4120835740,3.193333367506663,766.2416788736979,20.633333404858906,13.442500034968058,2.005083308865627,3.0
295,G090493E27894N,MMagr16_494,90.493,27.894,0.074,5333,5181,5250.0,65.0,22.0,2.0,246.0,Mangde Chhu,83734,4120835740,3.193333367506663,766.2416788736979,20.633333404858906,13.442500034968058,2.005083308865627,3.0
296,G090502E27895N,MMagr16_493,90.502,27.895,0.187,5345,5149,5225.0,48.0,17.0,1.0,168.0,Mangde Chhu,83734,4120835740,3.193333367506663,766.2416788736979,20.633333404858906,13.442500034968058,2.005083308865627,3.0
297,G090505E27901N,MMagr16_491,90.505,27.901,0.084,5251,5143,5191.0,46.0,21.0,2.0,300.0,Mangde Chhu,83799,4121464780,2.6062500178813934,783.9125022888184,10.331249922513962,11.067499786615372,0.6963125066831708,2.0
298,G090509E27900N,MMagr16_492,90.509,27.9,0.166,5305,5179,5256.0,50.0,15.0,1.0,127.0,Mangde Chhu,83734,4120835740,3.193333367506663,766.2416788736979,20.633333404858906,13.442500034968058,2.005083308865627,3.0
299,G090560E27903N,MMagr16_497,90.56,27.903,0.408,5417,5134,5268.0,59.0,18.0,1.0,191.0,Mangde Chhu,83734,4120835740,3.193333367506663,766.2416788736979,20.633333404858906,13.442500034968058,2.005083308865627,3.0
300,G090548E27898N,MMagr16_496,90.548,27.898,0.068,5161,5087,5126.0,22.0,12.0,1.0,148.0,Mangde Chhu,83734,4120835740,3.193333367506663,766.2416788736979,20.633333404858906,13.442500034968058,2.005083308865627,3.0
301,G090573E27826N,MMagr16_499,90.573,27.826,0.06,5239,5045,5144.0,64.0,26.0,1.0,272.0,Mangde Chhu,83734,4120835740,3.193333367506663,766.2416788736979,20.633333404858906,13.442500034968058,2.005083308865627,3.0
302,G090574E27832N,MMagr16_498,90.574,27.832,0.211,5337,5052,5238.0,58.0,22.0,1.0,236.0,Mangde Chhu,83734,4120835740,3.193333367506663,766.2416788736979,20.633333404858906,13.442500034968058,2.005083308865627,3.0
303,G090545E27901N,MMagr16_495,90.545,27.901,0.104,5321,5168,5246.0,65.0,20.0,1.0,124.0,Mangde Chhu,83734,4120835740,3.193333367506663,766.2416788736979,20.633333404858906,13.442500034968058,2.005083308865627,3.0
304,G090318E27875N,MMagr16_402,90.318,27.875,0.412,5522,5115,5365.0,65.0,21.0,0.0,225.0,Mangde Chhu,83744,4121467150,2.7750000059604645,779.7333272298177,8.416666587193808,13.446666558583578,0.2948333335419497,2.0
305,G090320E27884N,MMagr16_405,90.32,27.884,0.101,5427,5209,5292.0,45.0,21.0,4.0,72.0,Mangde Chhu,83732,4120835970,5.091428603444781,769.5142909458706,21.471428189958846,27.11714322226388,1.8867142572999,2.0
306,G090371E28054N,MMagr16_435,90.371,28.054,3.93,6061,5239,5680.0,69.0,17.0,0.0,218.0,Mangde Chhu,83816,4121464770,3.5433333847257824,785.9888848198784,10.7111111746894,16.113333172268337,0.7732222245799171,2.0
307,G090443E28024N,MMagr16_482,90.443,28.024,45.85,7361,4630,5485.0,80.0,20.0,0.0,177.0,Mangde Chhu,83799,4121464780,2.6062500178813934,783.9125022888184,10.331249922513962,11.067499786615372,0.6963125066831708,2.0
308,G090456E28046N,MMagr16_485,90.456,28.046,0.174,6686,6382,6519.0,61.0,29.0,2.0,93.0,Mangde Chhu,83799,4121464780,2.6062500178813934,783.9125022888184,10.331249922513962,11.067499786615372,0.6963125066831708,2.0
309,G090469E28048N,MMagr16_486,90.469,28.048,0.045,6488,6290,6390.0,60.0,39.0,11.0,177.0,Mangde Chhu,83799,4121464780,2.6062500178813934,783.9125022888184,10.331249922513962,11.067499786615372,0.6963125066831708,2.0
310,G090454E28020N,MMagr16_484,90.454,28.02,0.054,5948,5588,5780.0,60.0,37.0,6.0,186.0,Mangde Chhu,83799,4121464780,2.6062500178813934,783.9125022888184,10.331249922513962,11.067499786615372,0.6963125066831708,2.0
311,G090434E27873N,MMagr16_481,90.434,27.873,0.171,5204,4940,5076.0,63.0,23.0,1.0,84.0,Mangde Chhu,83734,4120835740,3.193333367506663,766.2416788736979,20.633333404858906,13.442500034968058,2.005083308865627,3.0
312,G090429E27877N,MMagr16_480,90.429,27.877,0.02,5248,5140,5195.0,52.0,30.0,8.0,186.0,Mangde Chhu,83734,4120835740,3.193333367506663,766.2416788736979,20.633333404858906,13.442500034968058,2.005083308865627,3.0
313,G090402E28030N,MMagr16_439,90.402,28.03,0.21,5739,5427,5551.0,66.0,24.0,2.0,70.0,Mangde Chhu,83799,4121464780,2.6062500178813934,783.9125022888184,10.331249922513962,11.067499786615372,0.6963125066831708,2.0
314,G090321E27851N,MMagr16_396,90.321,27.851,0.047,5271,5126,5180.0,65.0,31.0,3.0,303.0,Mangde Chhu,83744,4121467150,2.7750000059604645,779.7333272298177,8.416666587193808,13.446666558583578,0.2948333335419497,2.0
315,G090379E27968N,MMagr16_451,90.379,27.968,0.05,5485,5329,5406.0,70.0,39.0,3.0,203.0,Mangde Chhu,83816,4121464770,3.5433333847257824,785.9888848198784,10.7111111746894,16.113333172268337,0.7732222245799171,2.0
316,G089398E27897N,PMogr16_65,89.398,27.897,1.731,5779,4990,5348.0,64.0,22.0,0.0,106.0,Mo Chhu,83406,4120831990,2.6310000002384184,704.1999938964843,12.65999994277954,14.89000008702278,0.8192000173032282,3.0
317,G089358E27853N,PMogr16_57,89.358,27.853,4.055,6384,4205,5029.0,81.0,28.0,0.0,118.0,Mo Chhu,83451,4121465070,3.1300000006502326,711.5454600941051,10.127272692593662,13.87545429576527,0.4083636342124507,3.0
318,G089359E27866N,PMogr16_59,89.359,27.866,0.6,5671,5198,5428.0,75.0,25.0,1.0,179.0,Mo Chhu,83451,4121465070,3.1300000006502326,711.5454600941051,10.127272692593662,13.87545429576527,0.4083636342124507,3.0
319,G089385E27882N,PMogr16_63,89.385,27.882,1.22,6032,4783,5343.0,70.0,29.0,0.0,100.0,Mo Chhu,83406,4120831990,2.6310000002384184,704.1999938964843,12.65999994277954,14.89000008702278,0.8192000173032282,3.0
320,G089483E27773N,PMogr16_55,89.483,27.773,0.156,5316,5137,5224.0,42.0,22.0,0.0,305.0,Mo Chhu,83451,4121465070,3.1300000006502326,711.5454600941051,10.127272692593662,13.87545429576527,0.4083636342124507,3.0
321,G089535E27764N,PMogr16_53,89.535,27.764,0.057,5241,5121,5178.0,41.0,22.0,2.0,307.0,Mo Chhu,83315,4120833600,4.501999998092652,687.9999877929688,11.5,22.137999725341796,0.4986000090837478,2.0
322,G089532E27760N,PMogr16_54,89.532,27.76,0.076,5391,5134,5231.0,47.0,22.0,1.0,201.0,Mo Chhu,83315,4120833600,4.501999998092652,687.9999877929688,11.5,22.137999725341796,0.4986000090837478,2.0
323,G089552E27790N,PMogr16_51,89.552,27.79,0.264,5595,5109,5425.0,55.0,25.0,1.0,276.0,Mo Chhu,83315,4120833600,4.501999998092652,687.9999877929688,11.5,22.137999725341796,0.4986000090837478,2.0
324,G089554E27794N,PMogr16_50,89.554,27.794,0.182,5539,5094,5419.0,63.0,28.0,1.0,268.0,Mo Chhu,83315,4120833600,4.501999998092652,687.9999877929688,11.5,22.137999725341796,0.4986000090837478,2.0
325,G089350E27842N,PMogr16_56,89.35,27.842,1.818,6233,4907,5521.0,81.0,28.0,0.0,113.0,Mo Chhu,83451,4121465070,3.1300000006502326,711.5454600941051,10.127272692593662,13.87545429576527,0.4083636342124507,3.0
326,G089372E27869N,PMogr16_61,89.372,27.869,0.233,6509,5721,6100.0,65.0,43.0,3.0,166.0,Mo Chhu,83451,4121465070,3.1300000006502326,711.5454600941051,10.127272692593662,13.87545429576527,0.4083636342124507,3.0
327,G089381E27871N,PMogr16_62,89.381,27.871,1.272,6491,4474,5482.0,71.0,41.0,2.0,97.0,Mo Chhu,83406,4120831990,2.6310000002384184,704.1999938964843,12.65999994277954,14.89000008702278,0.8192000173032282,3.0
328,G089550E27788N,PMogr16_52,89.55,27.788,0.19,5566,5011,5318.0,64.0,31.0,1.0,277.0,Mo Chhu,83315,4120833600,4.501999998092652,687.9999877929688,11.5,22.137999725341796,0.4986000090837478,2.0
329,G089559E27791N,PMogr16_49,89.559,27.791,0.212,5541,5312,5447.0,70.0,29.0,0.0,102.0,Mo Chhu,83244,4121467340,2.8309090679342095,673.8818192915483,10.336363705721768,15.340000060471622,0.6423636417497289,2.0
330,G089568E28109N,PMogr16_102,89.568,28.109,3.339,6140,4075,5131.0,75.0,28.0,0.0,111.0,Mo Chhu,83410,4120828210,3.1799999872843423,706.1333482530382,10.555555555555555,18.728888723585342,0.5837777786784701,3.0
331,G089578E28026N,PMogr16_84,89.578,28.026,0.108,5370,5151,5261.0,55.0,21.0,1.0,277.0,Mo Chhu,83407,4120831940,3.701428617749895,702.7571323939732,12.34285729272025,19.871428557804652,0.58971429509776,2.0
332,G089616E28027N,PMogr16_92,89.616,28.027,0.035,5402,5261,5324.0,54.0,27.0,1.0,104.0,Mo Chhu,83410,4120828210,3.1799999872843423,706.1333482530382,10.555555555555555,18.728888723585342,0.5837777786784701,3.0
333,G089612E28154N,PMogr16_106,89.612,28.154,4.36,5871,4304,5066.0,76.0,26.0,0.0,160.0,Mo Chhu,83410,4120828210,3.1799999872843423,706.1333482530382,10.555555555555555,18.728888723585342,0.5837777786784701,3.0
334,G089463E28008N,PMogr16_66,89.463,28.008,0.724,5791,5017,5391.0,65.0,25.0,1.0,213.0,Mo Chhu,83407,4120831940,3.701428617749895,702.7571323939732,12.34285729272025,19.871428557804652,0.58971429509776,2.0
335,G089475E28016N,PMogr16_67,89.475,28.016,0.512,5750,5197,5443.0,62.0,23.0,1.0,146.0,Mo Chhu,83407,4120831940,3.701428617749895,702.7571323939732,12.34285729272025,19.871428557804652,0.58971429509776,2.0
336,G089469E28029N,PMogr16_70,89.469,28.029,0.135,5482,5052,5341.0,57.0,30.0,1.0,56.0,Mo Chhu,83407,4120831940,3.701428617749895,702.7571323939732,12.34285729272025,19.871428557804652,0.58971429509776,2.0
337,G089512E28084N,PMogr16_76,89.512,28.084,0.571,5831,5166,5414.0,59.0,24.0,1.0,175.0,Mo Chhu,83407,4120831940,3.701428617749895,702.7571323939732,12.34285729272025,19.871428557804652,0.58971429509776,2.0
338,G089513E28092N,PMogr16_78,89.513,28.092,0.119,6357,5636,6072.0,68.0,51.0,35.0,184.0,Mo Chhu,83407,4120831940,3.701428617749895,702.7571323939732,12.34285729272025,19.871428557804652,0.58971429509776,2.0
339,G089525E28077N,PMogr16_79,89.525,28.077,0.821,5752,4757,5147.0,64.0,23.0,0.0,190.0,Mo Chhu,83407,4120831940,3.701428617749895,702.7571323939732,12.34285729272025,19.871428557804652,0.58971429509776,2.0
340,G089534E28057N,PMogr16_80,89.534,28.057,0.373,5304,5136,5220.0,56.0,19.0,1.0,266.0,Mo Chhu,83407,4120831940,3.701428617749895,702.7571323939732,12.34285729272025,19.871428557804652,0.58971429509776,2.0
341,G089535E28074N,PMogr16_93,89.535,28.074,0.04,5551,5325,5433.0,68.0,35.0,4.0,153.0,Mo Chhu,83407,4120831940,3.701428617749895,702.7571323939732,12.34285729272025,19.871428557804652,0.58971429509776,2.0
