HYRIV_ID,NEXT_DOWN,MAIN_RIV,LENGTH_KM,DIST_DN_KM,DIST_UP_KM,CATCH_SKM,UPLAND_SKM,ENDORHEIC,DIS_AV_CMS,ORD_STRA,ORD_CLAS,ORD_FLOW,HYBAS_L12,Shape_Leng,geometry,index_right,HYBAS_ID
40815630,40816448,41067217,4.940000057220459,688.2000122070312,11.699999809265137,13.510000228881836,45.5,0,0.718999981880188,2,5,7,4121468690.0,0.048570226039531,"MULTILINESTRING ((89.1062499999995 27.602083333332892, 89.10410966916149 27.60422366417088), (89.09878029325357 27.606249999999555, 89.09791666666618 27.606249999999555, 89.09744945948212 27.60671720718361), (89.08018596820675 27.610416666666218, 89.07665298329674 27.610416666666218), (89.06762649199851 27.605126491998586, 89.06458333333282 27.602083333332892))",15783,4080845240
40814560,40815361,41067217,0.689999997615814,659.9000244140625,5.099999904632568,8.369999885559082,8.399999618530273,0,0.112000003457069,1,6,7,4121468520.0,0.00624999999998,"LINESTRING (89.31041666666621 27.624999999999552, 89.31041666666621 27.618749999999572)",15614,4080886640
40814559,40813177,41067217,3.809999942779541,673.0,7.199999809265137,14.270000457763672,14.300000190734863,0,0.219999998807907,1,5,7,4121467900.0,0.036575727471191,"LINESTRING (89.16249999999948 27.616666666666198, 89.17291666666611 27.627083333332884, 89.17708333333289 27.627083333332884, 89.18958333333293 27.6395833333329)",15614,4080886640
40814561,40815361,41067217,6.170000076293945,659.7999877929688,10.0,28.34000015258789,28.299999237060547,0,0.372000008821487,1,5,7,4121468520.0,0.060712782549423,"LINESTRING (89.36249999999953 27.6395833333329, 89.34374999999946 27.6395833333329, 89.32291666666615 27.618749999999572, 89.31041666666621 27.618749999999572)",15614,4080886640
40813447,40813177,41067217,3.289999961853027,672.9000244140625,6.599999904632568,16.729999542236328,16.700000762939453,0,0.24600000679493,1,6,7,4121467900.0,0.03297588984329,"LINESTRING (89.15833333333282 27.635416666666252, 89.17291666666611 27.635416666666252, 89.17708333333289 27.6395833333329, 89.18958333333293 27.6395833333329)",15614,4080886640
40814269,40815360,41067217,4.170000076293945,660.5,34.29999923706055,12.739999771118164,442.20001220703125,0,4.197000026702881,4,4,6,4121468520.0,0.038511002862966,"LINESTRING (89.26041666666615 27.656249999999538, 89.26041666666615 27.647916666666227, 89.25624999999948 27.643749999999564, 89.26041666666615 27.6395833333329, 89.25624999999948 27.635416666666252, 89.25624999999948 27.622916666666235)",15614,4080886640
40813177,40812055,41067217,5.150000095367432,667.9000244140625,12.300000190734863,12.550000190734863,43.599998474121094,0,0.610000014305115,2,5,7,4121467900.0,0.05029611588269,"LINESTRING (89.18958333333293 27.6395833333329, 89.19374999999948 27.6395833333329, 89.20208333333281 27.647916666666227, 89.20624999999947 27.647916666666227, 89.21041666666613 27.652083333332875, 89.22291666666618 27.652083333332875, 89.2312499999995 27.660416666666244)",15614,4080886640
40812056,40814269,41067217,0.620000004768372,664.9000244140625,29.899999618530273,0.759999990463257,336.79998779296875,0,3.130000114440918,3,4,6,4121467900.0,0.005892556509953,"LINESTRING (89.26458333333287 27.660416666666244, 89.26041666666615 27.656249999999538)",15614,4080886640
40812055,40814269,41067217,3.079999923706055,664.7000122070312,15.600000381469727,7.789999961853027,92.5999984741211,0,1.182000041007996,3,5,6,4121467900.0,0.03089255650989,"LINESTRING (89.2312499999995 27.660416666666244, 89.25208333333282 27.660416666666244, 89.25624999999948 27.656249999999538, 89.26041666666615 27.656249999999538)",15614,4080886640
40811752,40812056,41067217,1.440000057220459,665.2999877929688,6.199999809265137,10.079999923706055,10.100000381469727,0,0.130999997258186,1,5,7,4121467900.0,0.014583333333292,"LINESTRING (89.27916666666616 27.660416666666244, 89.26458333333287 27.660416666666244)",15614,4080886640
40811750,40812055,41067217,1.649999976158142,667.7000122070312,8.800000190734863,1.330000042915344,41.20000076293945,0,0.52700001001358,2,6,7,4121467900.0,0.015951779686475,"LINESTRING (89.21874999999946 27.668749999999555, 89.22708333333279 27.660416666666244, 89.2312499999995 27.660416666666244)",15614,4080886640
40811473,40811750,41067217,2.880000114440918,669.4000244140625,7.0,16.350000381469727,16.399999618530273,0,0.222000002861023,1,7,7,4121467900.0,0.0288092231765,"LINESTRING (89.19166666666618 27.664583333332892, 89.20624999999947 27.664583333332892, 89.21041666666613 27.668749999999555, 89.21874999999946 27.668749999999555)",15614,4080886640
40811751,40812056,41067217,2.470000028610229,665.2999877929688,29.5,6.650000095367432,326.0,0,3.016000032424927,3,4,6,4121467900.0,0.02255922317654,"LINESTRING (89.26874999999953 27.681249999999572, 89.26874999999953 27.67708333333291, 89.26458333333287 27.672916666666218, 89.26458333333287 27.660416666666244)",15614,4080886640
40811218,40811750,41067217,2.779999971389771,669.4000244140625,7.099999904632568,23.56999969482422,23.600000381469727,0,0.296999990940094,1,6,7,4121467900.0,0.025505501431433,"LINESTRING (89.21249999999955 27.691666666666215, 89.21874999999946 27.685416666666235, 89.21874999999946 27.668749999999555)",15614,4080886640
40810678,40810130,41067217,1.309999942779541,679.7000122070312,5.199999809265137,9.699999809265137,9.699999809265137,0,0.122000001370907,1,7,7,4121467400.0,0.012142556509905,"LINESTRING (89.37291666666616 27.67499999999955, 89.37291666666616 27.681249999999572, 89.3687499999995 27.685416666666235)",15614,4080886640
40810408,40811751,41067217,1.340000033378601,667.7999877929688,5.300000190734863,10.449999809265137,10.5,0,0.131999999284744,1,5,7,4121467900.0,0.013005501431547,"LINESTRING (89.25833333333279 27.687499999999567, 89.26458333333287 27.681249999999572, 89.26874999999953 27.681249999999572)",15614,4080886640
40810131,40810130,41067217,1.850000023841858,679.5,5.599999904632568,12.359999656677246,12.399999618530273,0,0.148000001907349,1,6,7,4121467400.0,0.018750000000068,"LINESTRING (89.38749999999956 27.685416666666235, 89.3687499999995 27.685416666666235)",15614,4080886640
40810409,40811751,41067217,2.890000104904175,668.0,26.799999237060547,9.5,308.8999938964844,0,2.924999952316284,3,4,6,4121467900.0,0.027736892706213,"LINESTRING (89.28958333333284 27.697916666666252, 89.28124999999952 27.689583333332884, 89.27708333333285 27.689583333332884, 89.26874999999953 27.681249999999572)",15614,4080886640
